Angle (degrees),CB (mm),Water Line Height (mm),Righting Moments (N)
235,[  0.02413111  12.03976828 -20.24468185],9.588604690924575,0.05905506340393341
240,[  0.02055649  12.02685095 -19.16904482],10.906933244927231,0.05899170392557781
245,[ 1.53179442e-02  1.20935266e+01 -1.82017631e+01],11.97356753799246,0.05931874816899277
250,[ 1.31353566e-02  1.22237248e+01 -1.71141089e+01],13.187899507896974,0.05995737037871101
255,[  0.01731853  12.36010851 -15.99189969],14.370078397956366,0.06062633223543115
260,[  0.0182746   12.48151513 -14.93469197],15.33417506531238,0.061221831732860874
265,[  0.01830345  12.55809603 -13.90366665],16.13673493831523,0.061597461030520204
270,[  0.0182483   12.54211714 -12.7104762 ],17.143116295337677,0.061519084593157546
275,[  0.01836096  12.47422726 -11.71862275],17.67589728476686,0.061186084728718226
280,[  0.01834689  12.4411138  -10.61666099],18.49825177747077,0.061023663179384666
285,[ 0.01835226 12.45667354 -9.49057687],19.464850277658044,0.06109998371840823
290,[ 0.01833695 12.47565073 -8.41067399],20.385710593986104,0.06119306685054177
295,[ 0.01830209 12.45899702 -7.28322508],21.445131168462968,0.06111138039443158
300,[ 0.01828373 12.38685324 -6.24565046],22.326522584673647,0.060757515130711995
305,[ 0.01829811 12.22946985 -5.14799304],23.363366265641723,0.05998554961016743
310,[ 0.01838431 11.97294044 -4.11469647],24.2883033260129,0.05872727283535109
315,[ 0.01833981 11.59779443 -3.05630169],25.321037160219912,0.05688718166558791
320,[ 0.01830391 11.09142577 -2.09295352],26.23560712640019,0.05440344342088163
325,[ 0.01827003 10.43368461 -1.0930078 ],27.34757905386119,0.05117722299241865
330,[ 0.01828862  9.58483237 -0.29181742],28.229267747588377,0.047013602779673244
335,[0.01828316 8.50856624 0.51722284],29.348613366022683,0.04173451740289428
340,[0.01827229 7.15120075 1.26737848],30.619349864948152,0.03507663969976413
345,[0.01829948 5.53363992 1.80520318],31.72982242041141,0.02714250382154649
350,[0.01792374 3.72446871 2.17982572],32.72347972017836,0.01826851899825452
355,[0.01269572 1.86582248 2.43355679],33.53246804675331,0.009151859288294949
